experiment_id,method_id,method_label,chain,seed_id,seed_value,seed_group,split,n,auc_no_gate,balanced_accuracy,sensitivity,specificity,auc_hard_030,auc_delta_no_gate_minus_hard_030
experiment_04_alice_model_no_hard_gate,no_gate_l1_linear,No gate + L1 + Linear,beta,S08,10762549616907469203,ordinary,internal_oof,169,0.7440198819509164,0.69206275240758,0.6724137931034483,0.7117117117117117,0.6510562286424355,0.09296365330848089
experiment_04_alice_model_no_hard_gate,no_gate_l1_linear,No gate + L1 + Linear,beta,S12,10694063091131643398,ordinary,internal_oof,169,0.7371854613233924,0.6744330537433986,0.6551724137931034,0.6936936936936937,0.6445324634979808,0.09265299782541159
experiment_04_alice_model_no_hard_gate,no_gate_l1_linear,No gate + L1 + Linear,beta,S13,4496119368746308026,ordinary,internal_oof,169,0.7433985709847779,0.6879465672569121,0.6551724137931034,0.7207207207207207,0.6521435228331781,0.0912550481515998
experiment_04_alice_model_no_hard_gate,no_gate_l1_mlp,No gate + L1 + MLP,beta,S01,777,lucky,internal_oof,169,0.7280211245728487,0.7014600807704257,0.6551724137931034,0.7477477477477478,0.6378533706119913,0.09016775396085741
experiment_04_alice_model_no_hard_gate,no_gate_l1_mlp,No gate + L1 + MLP,beta,S02,2232016200,lucky,internal_oof,169,0.7260018639328985,0.7014600807704257,0.6551724137931034,0.7477477477477478,0.6363000931966449,0.08970177073625352
experiment_04_alice_model_no_hard_gate,no_gate_l1_mlp,No gate + L1 + MLP,beta,S10,8365301900047924020,lucky,internal_oof,169,0.7258465361913637,0.7014600807704257,0.6551724137931034,0.7477477477477478,0.6406492699596147,0.08519726623174906
experiment_04_alice_model_no_hard_gate,no_gate_l1_mlp,No gate + L1 + MLP,beta,S04,6902826956892357559,moderate,internal_oof,169,0.7287977632805219,0.6928393911152533,0.6379310344827587,0.7477477477477478,0.6390959925442684,0.08970177073625352
experiment_04_alice_model_no_hard_gate,no_gate_l1_mlp,No gate + L1 + MLP,beta,S05,2712386035810402826,moderate,internal_oof,169,0.7283317800559179,0.7014600807704257,0.6551724137931034,0.7477477477477478,0.6387853370611991,0.08954644299471881
experiment_04_alice_model_no_hard_gate,no_gate_l1_mlp,No gate + L1 + MLP,beta,S11,2817756917657900866,moderate,internal_oof,169,0.726623174899037,0.6842187014600808,0.6206896551724138,0.7477477477477478,0.6387853370611991,0.08783783783783794
experiment_04_alice_model_no_hard_gate,no_gate_l1_mlp,No gate + L1 + MLP,beta,S07,11327508419378867602,ordinary,internal_oof,169,0.730040385212799,0.7014600807704257,0.6551724137931034,0.7477477477477478,0.6386300093196646,0.09141037589313439
